"week","id","scheduled","home_team","away_team","home_points","away_points","home_total_rushing_yards","away_total_rushing_yards","home_total_passing_yards","away_total_passing_yards"
"9","6731a83d-af26-47e2-8dfb-77500a18b066","2020-11-08T21:25:00+00:00","Cardinals","Dolphins",31,34,178,91,283,248
"9","83e0895f-536e-4315-9cfc-3db144fd47bd","2020-11-08T18:00:00+00:00","Titans","Bears",24,17,92,56,158,335
"9","8de0b4bd-4b8b-45fe-9434-78ffb69abf65","2020-11-08T18:00:00+00:00","Vikings","Lions",34,20,275,129,220,305
"9","b55c2c91-3a20-4fdc-87b7-93b82ef23443","2020-11-08T21:05:00+00:00","Chargers","Raiders",26,31,128,160,326,165
"9","c5fa2cf5-6aca-4c12-b258-0d6b1b922b90","2020-11-08T18:00:00+00:00","Chiefs","Panthers",33,31,30,104,372,338
"9","cd7bd560-44de-4b39-8ccb-92041851c7aa","2020-11-10T01:15:00+00:00","Jets","Patriots",27,30,65,159,262,274
"9","d7f8f15b-cf93-4477-8582-7ce3f99c803b","2020-11-08T18:00:00+00:00","Jaguars","Texans",25,27,115,107,304,281
"9","ed87d5e1-69c8-4ecf-bbc6-eba29ddb49cc","2020-11-06T01:20:00+00:00","49ers","Packers",17,34,55,111,291,305
"9","f76ab47a-47c4-4621-ab39-9e7c3dce310c","2020-11-08T18:00:00+00:00","Falcons","Broncos",34,27,92,103,284,313
"9","fd77dd04-10e3-4c78-8e54-86aa7ce10079","2020-11-08T18:00:00+00:00","Football Team","Giants",20,23,37,166,387,212
